idx,game_id,text,risk_level,riskType,description,pred_label,pred_riskLevel,PASS_prob,REJECT_prob
0,340,您好，我是你的马呢,REJECT,300,广告内容,0.0,PASS,0.9998272061347961,0.0001728459174046293
1,340,您好，我是孤竹辛觅,REJECT,300,广告内容,0.0,PASS,0.9983493089675903,0.0016506832325831056
2,374,最强阵容！,REJECT,300,广告内容,0.0,PASS,0.9994452595710754,0.0005546791362576187
3,374,最强阵容！1,REJECT,300,广告内容,0.0,PASS,0.9802674055099487,0.01973254233598709
4,374,最强阵容1,REJECT,300,广告内容,0.0,PASS,0.9794055819511414,0.020594386383891106
5,374,华容道最强阵容,REJECT,300,广告内容,0.0,PASS,0.9997926354408264,0.00020732328994199634
6,374,现版本最强阵容,REJECT,300,广告内容,0.0,PASS,0.9993535876274109,0.0006463599856942892
7,374,现版本最强阵容。,REJECT,300,广告内容,0.0,PASS,0.9989632368087769,0.001036721165291965
8,374,最强阵容。,REJECT,300,广告内容,0.0,PASS,0.99863201379776,0.0013679456897079945
9,374,版本最强阵容最强站位满足所有玩法,REJECT,300,广告内容,0.0,PASS,0.9990265369415283,0.0009734138729982078
10,374,版本最强阵容最强站位,REJECT,300,广告内容,0.0,PASS,0.9997417330741882,0.0002582205052021891
11,374,最强阵容,REJECT,300,广告内容,0.0,PASS,0.9990366697311401,0.000963405123911798
12,374,最强阵容推荐一个,REJECT,300,广告内容,0.0,PASS,0.9963317513465881,0.003668299876153469
13,374,最强阵容一队攻守兼备,REJECT,300,广告内容,0.0,PASS,0.9909600019454956,0.009040062315762043
14,374,最强阵容一队,REJECT,300,广告内容,0.0,PASS,0.9937694668769836,0.006230508908629417
15,374,QQ群723320799,REJECT,300,广告：联系方式：联系方式,1.0,REJECT,0.0041429889388382435,0.9958570599555969
16,340,您好，我是沙风暴,REJECT,300,广告内容,0.0,PASS,0.9999738931655884,2.6162560970988125e-05
17,94,在不,REJECT,300,广告：广告：广告,0.0,PASS,0.9892338514328003,0.010766187682747841
18,94,………,REJECT,300,广告：广告：广告,0.0,PASS,0.9368316531181335,0.06316839158535004
19,94,[13.png],REJECT,300,广告：广告：广告,0.0,PASS,0.9978850483894348,0.0021148889791220427
20,94,你用宝m的吗我比你多点，我108000,REJECT,300,广告内容,0.0,PASS,0.7572314143180847,0.2427685707807541
21,94,什么碎片？你用宝m的吗我比你多点，我108ooo,REJECT,300,广告内容,0.0,PASS,0.901204526424408,0.09879546612501144
22,94,我还有18000元宝108000元宝?,REJECT,300,广告内容,0.0,PASS,0.8166545629501343,0.1833454668521881
23,94,[lt_dianji.png]“月夜下的静谧对战牙疼小月饼”查看战斗详情,REJECT,300,广告：广告：广告,0.0,PASS,0.999916672706604,8.331525168614462e-05
24,94,帮冲不简单，加个V，转648*0.48就可以了,REJECT,300,广告：联系方式：联系方式,1.0,REJECT,0.01057659462094307,0.9894234538078308
25,94,[lt_dianji.png]“不一样つ威侯的战斗详情”，查看数据,REJECT,300,广告：联系方式：联系方式,0.0,PASS,0.9986956715583801,0.0013043138897046447
26,94,加v18222911613,REJECT,300,广告：联系方式：联系方式,1.0,REJECT,0.00040714070200920105,0.9995928406715393
27,94,18222911613,REJECT,300,广告：联系方式：联系方式,1.0,REJECT,0.016669167205691338,0.9833309054374695
28,94,一八二二二九一一六一三,REJECT,300,广告：联系方式：联系方式,1.0,REJECT,0.0006585813243873417,0.9993414282798767
29,94,加个V，GYH一六六八七二一六九三零,REJECT,300,广告：联系方式：联系方式,1.0,REJECT,0.0001153926205006428,0.9998846054077148
30,94,老酒你可以先不来，可以交流的皮是字姆,REJECT,300,广告：广告：广告,0.0,PASS,0.9884979128837585,0.011502009816467762
31,94,好的我去，搜不到？PIZK714,REJECT,300,广告：联系方式：联系方式,1.0,REJECT,0.2339838147163391,0.7660161852836609
32,94,shiuji号也是微,REJECT,300,广告：联系方式：联系方式,1.0,REJECT,0.04138140007853508,0.9586186408996582
33,94,13630071820,REJECT,300,广告：联系方式：联系方式,1.0,REJECT,0.006830776575952768,0.9931691884994507
34,94,[17.png]什么东西等下[4.png]记得加群,REJECT,300,广告内容,1.0,REJECT,0.23952700197696686,0.7604730129241943
35,94,我******符都没宝搞菜金福你充的寰宇？,REJECT,300,广告：广告：广告,0.0,PASS,0.9994865655899048,0.0005134115344844759
36,94,来我们团有庇护要加qun有意私聊v:djl541922841,REJECT,300,广告：联系方式：联系方式,1.0,REJECT,1.7598042177269235e-05,0.9999823570251465
37,94,来我们团有盟友要加qun有意私聊v:djl541922841,REJECT,300,广告：联系方式：联系方式,1.0,REJECT,7.53341919335071e-06,0.9999924898147583
38,94,来我们团有盟友要加qun有意私聊魏信:djl541922841,REJECT,300,广告：联系方式：联系方式,1.0,REJECT,3.6343604733701795e-05,0.999963641166687
39,94,来我们团有盟友要加qun魏信:djl541922841,REJECT,300,广告：联系方式：联系方式,1.0,REJECT,7.926582475192845e-05,0.9999207258224487
40,94,来我们团有盟友要进qun魏信:djl541922841,REJECT,300,广告：联系方式：联系方式,1.0,REJECT,0.0007970925071276724,0.9992029070854187
41,94,41我还没满，还能进两个XKAM,REJECT,300,广告内容,0.0,PASS,0.9716676473617554,0.028332319110631943
42,94,241我还没满，还能进两个xkam,REJECT,300,广告内容,0.0,PASS,0.9100606441497803,0.08993927389383316
43,94,4241我还没满，还能进两个7,REJECT,300,广告内容,0.0,PASS,0.955186128616333,0.04481382295489311
44,340,您好，我是居雾,REJECT,300,广告内容,0.0,PASS,0.9994778037071228,0.0005222678883001208
45,340,您好，我是叫放大,REJECT,300,广告内容,0.0,PASS,0.999866247177124,0.0001337435533059761
46,340,您好，我是安吉丽娜柱子,REJECT,300,广告内容,0.0,PASS,0.9999165534973145,8.344509114976972e-05
47,340,有没有兴趣入,REJECT,300,广告：广告：广告,0.0,PASS,0.9836165904998779,0.01638343557715416
48,246,找个小号来15万元宝？哈哈,REJECT,300,广告：广告：广告,0.0,PASS,0.96670001745224,0.03329993411898613
49,246,潜龙号还有50万，元宝确定？,REJECT,300,广告：广告：广告,0.0,PASS,0.983715832233429,0.016284165903925896
50,246,肝不动了，晚安！,REJECT,300,广告内容,0.0,PASS,0.9999638795852661,3.611608917708509e-05
51,246,价格优惠有需要就找我不影响你们玩游戏,REJECT,300,广告：广告：广告,0.0,PASS,0.7360583543777466,0.2639416754245758
52,246,回忆猪团，我给他来个50万错了25万我有小号50万元宝的,REJECT,300,广告：广告：广告,0.0,PASS,0.675720751285553,0.3242792785167694
53,246,我银行卡里有几个亿，你自己查,REJECT,300,广告：广告：广告,0.0,PASS,0.9998546838760376,0.000145335856359452
54,246,新人，求军团收留,REJECT,300,广告内容,0.0,PASS,0.9984614849090576,0.0015385117148980498
55,246,找个活跃军团灌水,REJECT,300,广告内容,0.0,PASS,0.9993621706962585,0.0006378456018865108
56,246,初来乍到，混个脸熟,REJECT,300,广告内容,0.0,PASS,0.9995653033256531,0.0004347063659224659
57,246,今天也要奥利给！,REJECT,300,广告内容,0.0,PASS,0.9996147155761719,0.0003852687368635088
58,255,@3,REJECT,300,广告：广告：广告,0.0,PASS,0.5271721482276917,0.47282788157463074
59,255,玩女神联盟2魄解版,REJECT,300,广告：广告：广告,0.0,PASS,0.6845790147781372,0.3154209852218628
60,255,领v17,REJECT,300,广告：广告：广告,1.0,REJECT,0.2853876054286957,0.7146124243736267
61,255,珺50173充值四折,REJECT,300,广告：广告：广告,1.0,REJECT,0.0702010989189148,0.9297988414764404
62,255,加薇芯：bfsyvip，3蛰Lh,REJECT,300,广告：广告：广告,0.0,PASS,0.9926421046257019,0.007357901427894831
63,255,万原宠值咔,REJECT,300,广告：广告：广告,0.0,PASS,0.9677991271018982,0.03220091015100479
64,255,佰度搜满意玩,REJECT,300,广告：广告：广告,1.0,REJECT,0.48597991466522217,0.5140201449394226
65,255,送千万转石,REJECT,300,广告：广告：广告,0.0,PASS,0.9902179837226868,0.00978203397244215
66,255,加薇芯：bfsyvip，3蛰mC,REJECT,300,广告：广告：广告,0.0,PASS,0.9950627684593201,0.004937261343002319
67,255,潇雪愺妳嫲残疾豿妳霸死了还是妳嫲死了没棺材下葬妳荃家背景,REJECT,300,广告：广告：广告,0.0,PASS,0.9989443421363831,0.0010556777706369758
68,255,潇雪愺妳嫲废豿这会在妳嫲的棺材里直播单喷妳嫲豿哔啊,REJECT,300,广告：广告：广告,0.0,PASS,0.9998038411140442,0.00019619817612692714
69,255,文覀愺妳嫲残疾豿妳嫲死了没棺材下葬妳嫲那条老姆豿是不,REJECT,300,广告：广告：广告,0.0,PASS,0.9998979568481445,0.00010206113802269101
70,255,凤凰纹刻艾薇愺妳嫲荃家死绝滴蕒哔豿天天在棺材里愺妳嫲滴废物,REJECT,300,广告：广告：广告,0.0,PASS,0.9903073310852051,0.009692705236375332
71,255,文覀愺妳嫲豿砸种这会在棺材里直播愺着妳嫲给妳亲霸看啊,REJECT,300,广告：广告：广告,0.0,PASS,0.9993686079978943,0.0006314046331681311
72,255,文覀愺妳嫲废物这会下线回去愺妳嫲呢！,REJECT,300,广告：广告：广告,0.0,PASS,0.9998446702957153,0.00015534057456534356
73,255,凤凰纹刻艾薇愺妳嫲瘋豿在棺材里直播愺着妳嫲跟妳亲霸对话啊！,REJECT,300,广告：广告：广告,0.0,PASS,0.9962579011917114,0.00374213932082057
74,255,凤凰纹刻艾薇愺妳嫲瘋豿在棺材里直播愺着妳嫲跟妳亲霸对话啊,REJECT,300,广告：广告：广告,0.0,PASS,0.9956834316253662,0.004316531587392092
75,255,凤凰纹刻艾薇愺妳嫲跳梁小丑天天在棺材里愺妳嫲来取悦妳亲霸啊,REJECT,300,广告：广告：广告,0.0,PASS,0.9872987866401672,0.012701176106929779
76,255,凤凰纹刻艾薇愺妳嫲智障豿妳嫲在棺材里都泛滥死了都,REJECT,300,广告：广告：广告,0.0,PASS,0.9938660264015198,0.006133954040706158
77,255,凤凰纹刻艾薇愺妳嫲残疾豿天天在棺材里直播愺妳嫲很嗨是不,REJECT,300,广告：广告：广告,0.0,PASS,0.9951317310333252,0.004868274088948965
78,255,凤凰纹刻艾薇愺妳嫲豿砸种给妳亲霸闭**嫲那恶心的烂粪坑,REJECT,300,广告：广告：广告,0.0,PASS,0.9709011316299438,0.02909882552921772
79,255,凤凰纹刻艾薇愺妳嫲豿砸种给妳亲霸闭尚妳嫲那恶心的烂粪坑,REJECT,300,广告：广告：广告,0.0,PASS,0.9856359958648682,0.014363961294293404
80,255,凤凰纹刻艾薇愺妳嫲脑残豿天天在妳嫲残疾面前豿延残喘什么,REJECT,300,广告：广告：广告,0.0,PASS,0.995429515838623,0.0045704832300543785
81,255,凤凰纹刻艾薇愺妳嫲废物妳觉得天天在妳亲霸面前豿延残喘有意思嘛,REJECT,300,广告：广告：广告,0.0,PASS,0.9808139204978943,0.01918605901300907
82,255,凤凰纹刻艾薇愺妳嫲瘋豿我发现妳的脸皮砸这么厚呢！,REJECT,300,广告：广告：广告,0.0,PASS,0.9910773038864136,0.008922752924263477
83,255,凤凰纹刻艾薇愺妳嫲溅豿妳因天天厚着脸皮在棺材里愺妳嫲无敌是不,REJECT,300,广告：广告：广告,0.0,PASS,0.9954871535301208,0.004512814339250326
